"card_id"	"type"	"name"	"Rarity"	"speed"	"damage"	"skill"	"batimin"	"batimax"	"color"	"exp"	"energy"	"cost_0"	"cost_1"	"cost_2"	"cost_3"	"cost_4"	"cost_5"
1001	1	"于吉"	2	1	6	1	0	0	1	0	1	2	1	0	0	0	0
1002	1	"南华老仙"	2	1	5	2	0	0	1	0	1	0	3	0	0	0	0
1003	1	"张祭"	1	2	3	3	0	0	1	0	1	0	0	0	0	0	0
1004	1	"张曼成"	1	2	4	4	0	0	1	0	1	2	1	0	0	0	0
1005	1	"黄巾校尉"	0	3	3	5	0	0	1	0	1	3	1	0	0	0	0
1006	1	"黄巾突袭兵"	0	3	3	6	0	0	1	0	0	0	0	0	0	0	0
1007	1	"黄巾义士"	0	4	3	7	0	0	1	0	0	0	0	0	0	0	0
1008	1	"黄巾轻骑兵"	1	4	3	8	0	0	1	0	0	0	1	0	0	0	0
1009	1	"华佗"	3	5	3	9	0	0	1	0	1	0	1	0	0	0	0
1010	1	"黄巾死士"	0	5	3	10	0	0	1	0	0	0	0	0	0	0	0
1011	1	"太平道士"	0	6	1	11	0	0	1	0	0	2	1	0	0	0	0
1012	1	"张梁"	2	6	2	12	0	0	1	0	0	0	0	0	0	0	0
1013	1	"张宝"	2	7	1	13	0	0	1	0	0	2	1	0	0	0	0
1014	1	"太平教徒"	0	7	1	14	0	0	1	0	0	0	2	0	0	0	0
1015	1	"管亥"	1	8	1	15	0	0	1	0	0	4	2	0	0	0	0
1016	1	"张倩"	1	8	1	16	0	0	1	0	0	0	2	0	0	0	0
1017	1	"张角"	3	9	1	17	0	0	1	0	0	0	4	0	0	0	0
1018	1	"黄巾禁卫军"	1	9	1	18	0	0	1	0	0	0	2	0	0	0	0
1019	1	"黄巾乱军"	0	4	2	19	0	0	1	0	0	3	1	0	0	0	0
1020	1	"黄巾运粮兵"	0	5	2	20	0	0	1	0	0	3	2	0	0	0	0
1021	1	"黄巾长矛队"	0	6	2	21	0	0	1	0	0	0	0	0	0	0	0
1022	1	"刘备"	2	1	6	22	0	0	2	0	2	4	0	2	0	0	0
1023	1	"马良"	2	1	6	23	0	0	2	0	2	0	0	2	0	0	0
1024	1	"蜀国参将"	1	2	5	24	0	0	2	0	2	0	0	1	0	0	0
1025	1	"糜芳"	1	2	0	25	0	0	2	0	2	0	0	0	0	0	0
1026	1	"蜀国中郎将"	0	3	4	26	0	0	2	0	0	0	0	0	0	0	0
1027	1	"蜀国投石车"	1	3	4	27	0	0	2	0	2	0	0	1	0	0	0
1028	1	"蜀国募兵员"	0	4	3	28	0	0	2	0	0	0	0	0	0	0	0
1029	1	"蜀国斥候"	0	4	3	29	0	0	2	0	0	0	0	1	0	0	0
1030	1	"徐庶"	2	5	3	30	0	0	2	0	2	3	0	1	0	0	0
1031	1	"蜀国补给队"	0	5	3	31	0	0	2	0	0	0	0	1	0	0	0
1032	1	"蜀国冲车"	0	6	2	32	0	0	2	0	0	0	0	0	0	0	0
1033	1	"蜀国步兵"	0	6	0	33	0	0	2	0	0	0	0	0	0	0	0
1034	1	"糜竺"	1	7	1	34	0	0	2	0	0	3	0	2	0	0	0
1035	1	"张飞"	2	7	2	35	0	0	2	0	0	4	0	2	0	0	0
1036	1	"孙乾"	1	8	1	36	0	0	2	0	0	3	0	1	0	0	0
1037	1	"赵云"	3	8	1	37	0	0	2	0	0	2	0	1	0	0	0
1038	1	"关羽"	3	9	1	38	0	0	2	0	0	0	0	4	0	0	0
1039	1	"蜀国重甲兵"	0	9	0	39	0	0	2	0	0	3	0	2	0	0	0
1040	1	"水镜先生"	1	4	2	40	0	0	2	0	0	0	0	0	0	0	0
1041	1	"蜀国参军"	0	5	2	41	0	0	2	0	0	4	0	1	0	0	0
1042	1	"蜀国新兵"	0	6	2	42	0	0	2	0	0	0	0	0	0	0	0
1043	1	"郭嘉"	3	1	5	43	0	0	3	0	3	4	0	0	3	0	0
1044	1	"魏国参军"	0	1	2	44	0	0	3	0	3	0	0	0	0	0	0
1045	1	"李典"	1	2	5	45	0	0	3	0	3	0	0	0	0	0	0
1046	1	"贾诩"	2	2	4	46	0	0	3	0	3	2	0	0	1	0	0
1047	1	"典韦"	1	3	4	47	0	0	3	0	3	2	0	0	1	0	0
1048	1	"魏国廷尉"	0	3	6	48	0	0	3	0	0	0	0	0	0	0	0
1049	1	"荀彧"	2	4	3	49	0	0	3	0	3	0	0	0	1	0	0
1050	1	"曹仁"	2	4	3	50	0	0	3	0	0	2	0	0	1	0	0
1051	1	"魏国斥候"	0	5	2	51	0	0	3	0	0	2	0	0	1	0	0
1052	1	"魏国精骑"	1	5	2	52	0	0	3	0	0	4	0	0	1	0	0
1053	1	"魏国刀斧手"	0	6	0	53	0	0	3	0	0	0	0	0	0	0	0
1054	1	"杨修"	1	6	2	54	0	0	3	0	0	2	0	0	1	0	0
1055	1	"虎豹骑"	1	7	0	55	0	0	3	0	0	4	0	0	2	0	0
1056	1	"夏侯渊"	1	7	1	56	0	0	3	0	0	3	0	0	1	0	0
1057	1	"夏侯惇"	2	8	2	57	0	0	3	0	0	0	0	0	1	0	0
1058	1	"魏国禁卫军"	0	8	1	58	0	0	3	0	0	0	0	0	0	0	0
1059	1	"曹操"	3	9	1	59	0	0	3	0	0	0	0	0	4	0	0
1060	1	"魏国戍卫"	0	9	3	60	0	0	3	0	0	0	0	0	0	0	0
1061	1	"魏国奸商"	0	4	2	61	0	0	3	0	0	0	0	0	1	0	0
1062	1	"魏国污吏"	0	5	2	62	0	0	3	0	0	0	0	0	0	0	0
1063	1	"魏国攻城兵"	0	6	1	63	0	0	3	0	0	4	0	0	2	0	0
1064	1	"张辽"	2	1	6	64	0	0	4	0	4	0	0	0	0	2	0
1065	1	"西凉伏兵"	1	1	5	65	0	0	4	0	4	0	0	0	0	1	0
1066	1	"西凉补给兵"	1	2	5	66	0	0	4	0	4	0	0	0	0	0	0
1067	1	"西凉布陷兵"	0	2	5	67	0	0	4	0	4	3	0	0	0	1	0
1068	1	"西凉铁骑"	0	3	4	68	0	0	4	0	0	2	0	0	0	1	0
1069	1	"华雄"	1	3	3	69	0	0	4	0	4	0	0	0	0	0	0
1070	1	"西凉斥候"	0	4	3	70	0	0	4	0	0	0	0	0	0	0	0
1071	1	"陷阵营"	0	4	2	71	0	0	4	0	0	3	0	0	0	1	0
1072	1	"李儒"	2	5	3	72	0	0	4	0	4	0	0	0	0	2	0
1073	1	"李傕"	1	5	2	73	0	0	4	0	0	3	0	0	0	1	0
1074	1	"西凉校尉"	0	6	2	74	0	0	4	0	0	0	0	0	0	0	0
1075	1	"陈宫"	2	6	2	75	0	0	4	0	0	0	0	0	0	0	0
1076	1	"高顺"	1	7	2	76	0	0	4	0	0	0	0	0	0	0	0
1077	1	"董卓"	3	7	2	77	0	0	4	0	0	3	0	0	0	2	0
1078	1	"貂蝉"	2	8	1	78	0	0	4	0	0	3	0	0	0	2	0
1079	1	"飞熊军"	0	8	1	79	0	0	4	0	0	4	0	0	0	2	0
1080	1	"吕布"	3	9	0	80	0	0	4	0	0	0	0	0	0	3	0
1081	1	"郭汜"	1	9	1	81	0	0	4	0	0	0	0	0	0	0	0
