"id"	"name"	"time"	"Effect"	"action"	"Effecttype"	"value"	"condition"	"ifask"	"des"
1	"琅邪道士·于吉"	1	4	0	0	1	1	0	"1白：比拼限定：若你的生命大于35点，则此牌获得伏击4-6。"
2	"南华老仙"	1	5	0	0	1	0	0	"白白白：比拼限定：防止本回合你对手的所有连击牌将要对你造成的战斗伤害。"
3	"太平圣子·张祭"	0	6	0	0	3	0	0	"你获得3点生命。"
4	"南阳统领·张曼成"	1	4	0	0	2	2	0	"1白：比拼限定：若你的生命大于35点，则此牌获得伏击5-6。"
5	"黄巾校尉"	0	2	0	0	2	3	0	"2白：连击限定：若你的生命大于35点，则此牌造成双倍战斗伤害。"
6	"黄巾突袭兵"	0	1	0	0	10	4	0	"连击限定：若你的生命大于40点，则此牌获得攻击力+10。"
7	"黄巾义士"	0	0	1	0	1	5	0	"连击限定：若本回合你之前获得过生命，则抓一张牌。"
8	"黄巾轻骑兵"	1	5	0	0	2	0	0	"白：比拼限定：防止本回合对手比拼牌对你造成的2点战斗伤害。"
9	"医圣·华佗"	0	6	0	1	0	0	0	"白：你的资源池中每有一点白色资源，你便获得2点生命。"
10	"黄巾死士"	0	1	0	0	2	6	0	"若本回合你之前获得过生命，则此牌获得攻击力+2。"
11	"太平道士"	0	6	0	0	3	0	0	"1白：你获得3点生命。"
12	"人公将军·张梁"	1	5	0	0	3	0	0	"比拼限定：防止本回合对手比拼牌对你造成的4点战斗伤害。"
13	"地公将军·张宝"	0	1	0	1	0	4	0	"1白：连击限定：当你的生命大于40点时，每大于1点，此牌便获得攻击力+1。"
14	"太平教徒"	0	6	0	2	0	7	0	"白白：连击限定：本回合你之前每打出过一张攻击牌，你便获得1点生命。"
15	"黄巾勇将·管亥"	0	0	1	0	2	8	0	"2白白：若你的当前生命大于你的对手，则你抓两张牌。"
16	"太平圣女·张倩"	0	6	0	0	5	7	0	"白白：连击限定：你获得5点生命。"
17	"天公将军·张角"	0	1	0	2	0	5	0	"白白白白：连击限定：本回合你之前每获得过1点生命，此牌便获得攻击力+1。"
18	"黄巾禁卫军"	0	1	0	0	3	8	0	"白白：若你的生命大于对手，则此牌获得攻击力+3。"
19	"黄巾乱军"	0	0	2	0	0	8	0	"2白：若你的生命大于对手，则你可以消灭一件对手的物品。"
20	"黄巾运粮兵"	0	7	0	0	1	6	0	"1白白：若本回合你之前获得过生命，则你获得资源值+1。"
21	"黄巾长矛队"	0	1	0	0	1	8	0	"若你的生命大于对手，则此牌获得攻击力+1。"
22	"大汉皇叔·刘备"	1	0	3	0	0	0	0	"2蓝蓝：比拼限定：检视你牌库顶三张牌，将它们以任意顺序放回，之后展示你的牌库顶牌，若以此法展示了一张攻击牌，则此牌获得伏击X，X等同于被展示攻击牌的印制速度。"
23	"白眉侍中·马良"	1	4	0	0	2	9	0	"蓝蓝：比拼限定：若你的手牌数大于或等于五张，此牌获得伏击5-6。"
24	"蜀国参将"	0	0	4	0	1024	0	0	"蓝：从你的牌库中搜寻一张与此牌同名的牌，并将其置入你的手牌。"
25	"南郡太守·糜芳"	0	1	0	3	0	0	0	"你每有一张手牌，此牌便获得攻击力+1。"
26	"蜀国中郎将"	1	0	5	0	0	0	0	"比拼限定：展示你的牌库顶牌，若以此法展示了一张攻击牌，则此牌获得伏击X，X等同于被展示攻击牌的印制速度。"
27	"蜀国投石车"	7	8	0	0	5	0	0	"蓝：当此牌从牌库顶被展示时，对你的对手造成5点技能伤害。"
28	"蜀国募兵员"	0	0	1	1	0	10	0	"若你的手牌数小于五张，则抓牌直到你的手牌数达到五张。"
29	"蜀国斥候"	0	0	6	0	0	0	0	"蓝：展示你的牌库顶牌，你可以将其置入你的牌库底。"
30	"孝廉谋士·徐庶"	0	0	1	0	2	0	0	"2蓝：抓两张牌。"
31	"蜀国补给队"	0	0	7	0	0	0	0	"蓝：展示你的牌库顶牌，若以此法展示了一张物品牌，则将其置入你的手牌。"
32	"蜀国冲车"	7	8	0	0	3	0	0	"当此牌从牌库顶被展示时，对你的对手造成3点技能伤害。"
33	"蜀国步兵"	0	1	0	4	0	7	0	"连击限定：本回合你之前每打出过一张攻击牌，此牌便获得攻击力+1。"
34	"南郡富商·糜竺"	0	0	1	2	0	7	0	"1蓝蓝：连击限定：本回合你之前每打出过一张攻击牌便抓一张牌。"
